frame.number,eth.src,eth.dst,frame.len,rel_time,primary
120,105927195770177.00,211811468.00,54,0.000068,0
121,247033387452035.00,105927195770177.00,1514,0.001468,0
122,247033387452035.00,105927195770177.00,1514,0.000329,0
123,247033387452035.00,105927195770177.00,1514,0.000003,0
124,247033387452035.00,105927195770177.00,1514,0,0
125,105927195770177.00,211811468.00,54,0.000122,0
126,247033387452035.00,105927195770177.00,1514,0.000296,0
127,247033387452035.00,105927195770177.00,1514,0.000002,0
128,247033387452035.00,105927195770177.00,1514,0,0
129,247033387452035.00,105927195770177.00,1514,0.000004,0
130,105927195770177.00,211811468.00,54,0.00006,0
131,247033387452035.00,105927195770177.00,1514,0.00174,0
132,247033387452035.00,105927195770177.00,1514,0.000001,0
133,247033387452035.00,105927195770177.00,1514,0,0
134,247033387452035.00,105927195770177.00,1514,0.000005,0
135,247033387452035.00,105927195770177.00,1514,0.000001,0
136,247033387452035.00,105927195770177.00,1514,0,0
137,247033387452035.00,105927195770177.00,1514,0.000001,0
138,247033387452035.00,105927195770177.00,1514,0.000001,0
139,247033387452035.00,105927195770177.00,1514,0,0
140,247033387452035.00,105927195770177.00,1514,0.000001,0
141,247033387452035.00,105927195770177.00,1514,0.000001,0
142,247033387452035.00,105927195770177.00,1514,0.000001,0
143,247033387452035.00,105927195770177.00,1177,0,0
144,247033387452035.00,105927195770177.00,1514,0,0
145,247033387452035.00,105927195770177.00,1514,0.000001,0
146,247033387452035.00,105927195770177.00,1514,0.000002,0
147,247033387452035.00,105927195770177.00,1514,0,0
148,247033387452035.00,105927195770177.00,1514,0,0
149,247033387452035.00,105927195770177.00,1514,0.000002,0
150,247033387452035.00,105927195770177.00,1514,0.000001,0
151,247033387452035.00,105927195770177.00,1514,0.000001,0
152,105927195770177.00,211811468.00,54,0.000163,0
153,247033387452035.00,105927195770177.00,1514,0.000253,0
154,247033387452035.00,105927195770177.00,1514,0,0
155,247033387452035.00,105927195770177.00,1514,0.000002,0
156,105927195770177.00,211811468.00,54,0.000061,0
157,247033387452035.00,105927195770177.00,1514,0.02171,0
158,247033387452035.00,105927195770177.00,1514,0.000426,0
159,247033387452035.00,105927195770177.00,1514,0,0
160,247033387452035.00,105927195770177.00,1514,0.000001,0
161,105927195770177.00,211811468.00,54,0.000079,0
162,247033387452035.00,105927195770177.00,1514,0.000374,0
163,247033387452035.00,105927195770177.00,1514,0.000002,0
164,247033387452035.00,105927195770177.00,1514,0,0
165,247033387452035.00,105927195770177.00,1514,0.000004,0
166,247033387452035.00,105927195770177.00,1514,0.000001,0
167,105927195770177.00,211811468.00,54,0.000069,0
168,247033387452035.00,105927195770177.00,1514,0.000312,0
169,247033387452035.00,105927195770177.00,1514,0.000001,0
170,247033387452035.00,105927195770177.00,1514,0,0
171,105927195770177.00,211811468.00,54,0.00005,0
172,247033387452035.00,105927195770177.00,1514,0.001051,0
173,247033387452035.00,105927195770177.00,1514,0.000406,0
174,247033387452035.00,105927195770177.00,1514,0.000001,0
175,105927195770177.00,211811468.00,54,0.00006,0
176,247033387452035.00,105927195770177.00,1514,0.000334,0
177,247033387452035.00,105927195770177.00,1514,0.000001,0
178,247033387452035.00,105927195770177.00,1514,0.000001,0
179,105927195770177.00,211811468.00,54,0.000084,0
180,247033387452035.00,105927195770177.00,1514,0.000552,0
181,247033387452035.00,105927195770177.00,1514,0.000001,0
182,247033387452035.00,105927195770177.00,1514,0.000001,0
183,105927195770177.00,211811468.00,54,0.000084,0
184,247033387452035.00,105927195770177.00,1514,0.000865,0
185,105927195770177.00,211811468.00,54,0.000064,0
186,247033387452035.00,105927195770177.00,1514,0.00185,0
187,247033387452035.00,105927195770177.00,1514,0.000001,0
188,247033387452035.00,105927195770177.00,1514,0.000003,0
189,247033387452035.00,105927195770177.00,1514,0.000001,0
190,247033387452035.00,105927195770177.00,1514,0.000001,0
191,247033387452035.00,105927195770177.00,1514,0.000001,0
192,247033387452035.00,105927195770177.00,1514,0,0
193,247033387452035.00,105927195770177.00,1514,0,0
194,247033387452035.00,105927195770177.00,1514,0.000001,0
195,247033387452035.00,105927195770177.00,1514,0.000001,0
196,247033387452035.00,105927195770177.00,1514,0.000001,0
197,247033387452035.00,105927195770177.00,1514,0,0
198,247033387452035.00,105927195770177.00,1514,0.000001,0
199,247033387452035.00,105927195770177.00,1514,0.000001,0
200,247033387452035.00,105927195770177.00,1514,0.000001,0
201,247033387452035.00,105927195770177.00,1514,0.000001,0
202,247033387452035.00,105927195770177.00,1514,0.000001,0
203,247033387452035.00,105927195770177.00,1514,0,0
204,247033387452035.00,105927195770177.00,1514,0,0
205,105927195770177.00,211811468.00,54,0.000142,0
206,247033387452035.00,105927195770177.00,1514,0.000226,0
207,247033387452035.00,105927195770177.00,1514,0.000001,0
208,247033387452035.00,105927195770177.00,1514,0.000001,0
209,105927195770177.00,211811468.00,54,0.000066,0
210,105927195770177.00,211811468.00,127,0.012328,0
211,247033387452035.00,105927195770177.00,1514,0.008384,0
212,247033387452035.00,105927195770177.00,1514,0.000365,0
213,247033387452035.00,105927195770177.00,1514,0.000001,0
214,105927195770177.00,211811468.00,54,0.000053,0
215,247033387452035.00,105927195770177.00,1514,0.000273,0
216,247033387452035.00,105927195770177.00,1076,0.000001,0
217,105927195770177.00,211811468.00,54,0.000042,0
218,247033387452035.00,105927195770177.00,179,0.032297,0
219,105927195770177.00,211811468.00,54,0.042277,0
220,105927195770177.00,281474976710655.00,92,0.204149,0
221,105927195770177.00,281474976710655.00,92,0.000115,0
222,105927195770177.00,281474976710655.00,92,0.000063,0
223,105927195770177.00,211811468.00,215,0.121756,0
224,105927195770177.00,211811468.00,78,0.009287,0
225,105927195770177.00,211811468.00,77,0.000038,0
226,247033387452659.00,105927195770177.00,94,0.001708,0
227,247033387452659.00,105927195770177.00,132,0.000207,0
228,105927195770177.00,211811468.00,71,0.001141,0
229,105927195770177.00,211811468.00,145,0.001686,0
230,105927195770177.00,211811468.00,66,0.000703,0
231,105927195770177.00,211811468.00,66,0.000591,0
232,105927195770177.00,211811468.00,66,0.000376,0
233,105927195770177.00,211811468.00,66,0.000343,0
234,105927195770177.00,211811468.00,66,0.000339,0
235,105927195770177.00,211811468.00,80,0.00162,0
236,105927195770177.00,211811468.00,143,0.001823,0
237,105927195770177.00,211811468.00,143,0.00157,0
238,105927195770177.00,211811468.00,142,0.00299,0
239,247033387452035.00,105927195770177.00,1514,0.003046,0
240,105927195770177.00,211811468.00,54,0.00013,0
241,247033387452035.00,105927195770177.00,1514,0.000538,0
242,247033387452035.00,105927195770177.00,1514,0.000002,0
243,247033387452035.00,105927195770177.00,1514,0.000002,0
244,247033387452035.00,105927195770177.00,1514,0.000003,0
245,247033387452035.00,105927195770177.00,1514,0.000002,0
246,247033387452035.00,105927195770177.00,1514,0.000001,0
247,247033387452035.00,105927195770177.00,1514,0.000001,0
248,247033387452035.00,105927195770177.00,1514,0.000001,0
249,105927195770177.00,211811468.00,54,0.000155,0
250,247033387452035.00,105927195770177.00,1514,0.000686,0
251,247033387452035.00,105927195770177.00,1514,0.000001,0
252,247033387452035.00,105927195770177.00,407,0,0
253,247033387452035.00,105927195770177.00,1514,0.000001,0
254,247033387452035.00,105927195770177.00,1514,0.000001,0
255,247033387452035.00,105927195770177.00,1514,0,0
256,247033387452035.00,105927195770177.00,1514,0.000001,0
257,247033387452035.00,105927195770177.00,1514,0.000001,0
258,247033387452035.00,105927195770177.00,1514,0,0
259,247033387452035.00,105927195770177.00,1514,0.000001,0
260,247033387452035.00,105927195770177.00,1514,0.000001,0
261,247033387452035.00,105927195770177.00,1514,0.000001,0
262,247033387452035.00,105927195770177.00,1514,0,0
263,247033387452035.00,105927195770177.00,1514,0.000001,0
264,247033387452035.00,105927195770177.00,407,0.000001,0
265,105927195770177.00,211811468.00,54,0.000118,0
266,247033387452035.00,105927195770177.00,1514,0.001447,0
267,247033387452035.00,105927195770177.00,1514,0.000001,0
268,247033387452035.00,105927195770177.00,1514,0.000001,0
269,247033387452035.00,105927195770177.00,1514,0.000002,0
270,247033387452035.00,105927195770177.00,1514,0,0
271,247033387452035.00,105927195770177.00,1514,0.000001,0
272,247033387452035.00,105927195770177.00,1514,0.000001,0
273,247033387452035.00,105927195770177.00,1514,0.000001,0
274,247033387452035.00,105927195770177.00,1514,0.000001,0
275,247033387452035.00,105927195770177.00,1514,0.000001,0
276,247033387452035.00,105927195770177.00,1514,0,0
277,247033387452035.00,105927195770177.00,407,0.000001,0
278,247033387452035.00,105927195770177.00,1514,0,0
279,247033387452035.00,105927195770177.00,1514,0.000001,0
280,247033387452035.00,105927195770177.00,1514,0.000001,0
281,247033387452035.00,105927195770177.00,1514,0.000001,0
282,247033387452035.00,105927195770177.00,1514,0,0
283,247033387452035.00,105927195770177.00,1514,0.000001,0
284,247033387452035.00,105927195770177.00,1514,0.000001,0
285,247033387452035.00,105927195770177.00,1514,0,0
286,247033387452035.00,105927195770177.00,1514,0.000001,0
287,247033387452035.00,105927195770177.00,1514,0.000001,0
